roomCount,doorCount,avgConnectivity,graphDiameter,maxDepth,cyclicityMeasure,entryPointCount,doorsOpen,doorsClosed,doorsLocked,lockedDoorFraction,avgEntityDistanceFromEntry,entityClusteringCoefficient,avgHostageTerroristDistance,minHostageTerroristDistance,entityDepthVariance,avgEntityDepth,avgPatrolRouteLength,stationaryGuardCount,patrolCount,roamingGuardCount,hostageGuardianCount,patrolCoverage,avgWaypointCount,totalFurnitureCount,avgFurniturePerRoom,furnitureFloorCoverage,furnishedRoomCount,layoutType,roomSizeCategory,entryType,configRoomCount,configTerroristCount,placementStrategy,hostageRiskLevel,difficultyLevel,randomnessLevel,seedUsed,scenarioId,validationPassed,validationWarnings,errorMessage
4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,8.7314,0.6667,8.3983,2.5961,0.2500,1.5000,2.0000,1,1,0,1,0.2500,0.6667,22,5.5000,0.0788,4,branching,medium,single,4,3,dispersed,medium,3,high,1103009509,8b2ba48c-dea4-4586-8cdd-81d2a8b1aa73,true,,
4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,10.1244,0.3333,12.9466,2.6254,0.2500,1.5000,2.0000,1,1,0,1,0.2500,0.6667,21,5.2500,0.0764,4,branching,medium,single,4,3,dispersed,medium,3,high,883060109,b590db6d-3092-4a48-a3cd-8b3828f6fd97,true,,
4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,11.7188,0.3333,12.0938,2.5926,0.2500,1.5000,2.0000,1,1,0,1,0.2500,0.6667,18,4.5000,0.0543,4,branching,medium,single,4,3,dispersed,medium,3,high,49515255,1079305f-65fb-473e-9658-e7251b0824be,true,,
4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,7.2778,0.8333,10.9378,9.5700,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,27,6.7500,0.1092,4,branching,medium,single,4,3,dispersed,medium,3,high,1824854539,efdea335-b7fb-4a9f-b55c-05e6f649b42f,true,,
4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,9.3560,1.0000,7.5941,2.6867,0.2500,1.5000,3.0000,1,1,0,1,0.5000,1.0000,24,6.0000,0.0756,4,branching,medium,single,4,3,dispersed,medium,3,high,27731585,2a753e87-dc5b-4f7e-8441-59141fcc0cb2,true,,
4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,9.0891,0.6667,8.9609,2.0433,0.2500,1.5000,2.0000,1,1,0,1,0.2500,0.6667,21,5.2500,0.0600,4,branching,medium,single,4,3,dispersed,medium,3,high,1857904126,09ce3282-4e7d-43e3-aad0-d8ba479e152e,true,,
4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,11.8984,0.3333,11.7796,1.8736,0.2500,1.5000,2.0000,1,1,0,1,0.2500,0.6667,24,6.0000,0.1091,4,branching,medium,single,4,3,dispersed,medium,3,high,1510929986,130e102a-345e-41bc-8c2b-f9eddef31bd5,true,,
4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,8.3146,1.0000,2.6804,1.7277,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,24,6.0000,0.1028,4,branching,medium,single,4,3,dispersed,medium,3,high,787607501,9ded00ab-0866-4032-92bf-5dc8fdc4d243,true,,
4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,8.3465,0.6667,7.9980,2.2401,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,28,7.0000,0.0908,4,branching,medium,single,4,3,dispersed,medium,3,high,1795061821,5d4d9a94-6aaa-4bbe-b639-a0eeb4e1c088,true,,
4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,11.7995,1.0000,6.8748,2.6502,0.2500,1.5000,3.0000,1,1,0,1,0.5000,1.0000,20,5.0000,0.0540,4,branching,medium,single,4,3,dispersed,medium,3,high,344283727,a8c5b81e-599a-4ed1-901b-356d1fc94e84,true,,
4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,11.9660,1.0000,6.5335,2.1838,0.2500,1.5000,3.0000,1,1,0,1,0.5000,1.0000,24,6.0000,0.0748,4,branching,medium,single,4,3,dispersed,medium,3,high,1753692288,f19250f3-e0cf-4ebf-b106-1c75855eb8ed,true,,
4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,7.7216,0.6667,10.7432,9.9514,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,25,6.2500,0.0818,4,branching,medium,single,4,3,dispersed,medium,3,high,1336375739,6482a7eb-8182-43d4-8df9-1ad15f5bbf5d,true,,
4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,9.4791,1.0000,5.4684,2.5545,0.2500,1.5000,2.0000,1,1,0,1,0.2500,0.6667,23,5.7500,0.0617,4,branching,medium,single,4,3,dispersed,medium,3,high,1521016091,5e5e895e-dd66-4fb6-a1d2-04f02c760fd8,true,,
