scenarioId_A,scenarioId_B,graphEditDistance,entityPositionDistance,jaccardRoomConnectivity,roleDistributionDistance,depthProfileDistance,doorStateDistance,furnitureCountDistance
0225230d-0887-4698-8bca-5fb37c36f3b0,d722ffec-cb10-45da-befc-3b7458863572,2.0000,11.9149,0.5000,2.0000,2.0000,0.0000,0.2308
0225230d-0887-4698-8bca-5fb37c36f3b0,08da8d11-8b6f-47e6-81e0-0963d7ad3da4,2.0000,12.7489,0.5000,2.0000,2.0000,0.0000,0.3077
0225230d-0887-4698-8bca-5fb37c36f3b0,e0f7b541-419e-4414-8ad3-fc6647f23b72,0.0000,8.8520,1.0000,0.0000,0.0000,0.0000,0.0370
0225230d-0887-4698-8bca-5fb37c36f3b0,80a9e1da-96e2-4114-a0a8-e18086e7da9b,2.0000,12.4668,0.5000,2.0000,2.0000,0.0000,0.1154
0225230d-0887-4698-8bca-5fb37c36f3b0,10c475d7-eb75-4a0f-8ec6-de4fe54142ed,2.0000,9.0386,0.5000,2.0000,2.0000,0.0000,0.1154
0225230d-0887-4698-8bca-5fb37c36f3b0,5e2e7f48-e6d2-4d88-96af-5b18724aafad,2.0000,12.8388,0.5000,2.0000,2.0000,0.0000,0.2308
0225230d-0887-4698-8bca-5fb37c36f3b0,eca0ef3c-dbfc-4391-a1eb-339ba4d2a82e,2.0000,11.3858,0.5000,2.0000,2.0000,0.6667,0.0000
0225230d-0887-4698-8bca-5fb37c36f3b0,6dc8d981-0a3d-4461-90ab-11fa1c9ec1da,2.0000,10.1372,0.5000,2.0000,2.0000,0.0000,0.1154
0225230d-0887-4698-8bca-5fb37c36f3b0,328e5343-e976-488c-bf14-a30268621841,2.0000,11.3052,0.5000,2.0000,2.0000,0.0000,0.1154
0225230d-0887-4698-8bca-5fb37c36f3b0,43c78079-ff88-44ea-aa1e-4b9ed94d536c,2.0000,10.7381,0.5000,2.0000,2.0000,0.6667,0.1923
0225230d-0887-4698-8bca-5fb37c36f3b0,fa6ecf81-48b4-4a6c-b5b5-71cd75acb29e,0.0000,2.7459,1.0000,0.0000,0.0000,0.6667,0.0714
0225230d-0887-4698-8bca-5fb37c36f3b0,8169d177-40e8-4c5c-af1f-0fc39a0dde0e,2.0000,7.7682,0.5000,2.0000,2.0000,0.0000,0.1154
0225230d-0887-4698-8bca-5fb37c36f3b0,2d226ec9-f908-4d16-8880-273e7653815f,2.0000,13.0983,0.5000,2.0000,2.0000,0.0000,0.1154
0225230d-0887-4698-8bca-5fb37c36f3b0,ef44e94c-8c97-4637-bddc-0bd1e0e86ba2,0.0000,9.2372,1.0000,0.0000,0.0000,0.0000,0.0385
0225230d-0887-4698-8bca-5fb37c36f3b0,23529de5-e09c-4bb4-8b9d-c43f269eda07,2.0000,11.8140,0.5000,2.0000,2.0000,0.6667,0.2308
0225230d-0887-4698-8bca-5fb37c36f3b0,be25013e-4d07-4542-b016-43be097f1c69,2.0000,10.1717,0.5000,2.0000,2.0000,0.0000,0.1154
0225230d-0887-4698-8bca-5fb37c36f3b0,032c3188-b908-41b0-8c9f-cad468487425,2.0000,8.0316,0.5000,2.0000,2.0000,0.0000,0.0000
