difficultyBatch,roomCount,doorCount,avgConnectivity,graphDiameter,maxDepth,cyclicityMeasure,entryPointCount,doorsOpen,doorsClosed,doorsLocked,lockedDoorFraction,avgEntityDistanceFromEntry,entityClusteringCoefficient,avgHostageTerroristDistance,minHostageTerroristDistance,entityDepthVariance,avgEntityDepth,avgPatrolRouteLength,stationaryGuardCount,patrolCount,roamingGuardCount,hostageGuardianCount,patrolCoverage,avgWaypointCount,totalFurnitureCount,avgFurniturePerRoom,furnitureFloorCoverage,furnishedRoomCount,layoutType,roomSizeCategory,entryType,configRoomCount,configTerroristCount,placementStrategy,hostageRiskLevel,difficultyLevel,randomnessLevel,seedUsed,scenarioId,validationPassed,validationWarnings,errorMessage
1,4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,11.4666,1.0000,6.1698,1.5695,0.2500,1.5000,3.0000,0,1,1,1,0.5000,2.0000,16,4.0000,0.0610,4,branching,medium,single,4,3,dispersed,medium,1,medium,1753885682,355847e4-b0da-4a0b-b140-c3af279a6487,true,,
1,4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,8.2309,0.5000,9.6875,1.8248,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,20,5.0000,0.0601,4,branching,medium,single,4,3,dispersed,medium,1,medium,525442906,0e7bfb1e-70a0-44b0-9362-dec14d2be747,true,,
1,4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,9.6285,1.0000,5.4727,1.5977,0.2500,1.5000,3.0000,0,1,1,1,0.5000,2.0000,17,4.2500,0.0469,4,branching,medium,single,4,3,dispersed,medium,1,medium,1588058645,25e9ee36-0556-486d-b948-32160e80fec3,true,,
1,4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,8.3349,0.6667,8.5954,1.5409,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,21,5.2500,0.0628,4,branching,medium,single,4,3,dispersed,medium,1,medium,406424415,42834028-0adb-4981-bfb9-16a73b61cab5,true,,
1,4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,8.4336,0.6667,12.9416,11.3333,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,23,5.7500,0.0787,4,branching,medium,single,4,3,dispersed,medium,1,medium,1276939858,1c415d23-20c6-4a1c-991a-b8adc9260cb1,true,,
1,4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,9.7529,1.0000,6.5913,3.2388,0.2500,1.5000,3.0000,0,1,1,1,0.5000,2.0000,19,4.7500,0.0614,4,branching,medium,single,4,3,dispersed,medium,1,medium,1088932771,6489737c-3911-4e46-91fb-3c3972b49c70,true,,
1,4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,11.8947,0.5000,11.2888,1.6351,0.2500,1.5000,2.0000,0,1,1,1,0.2500,1.6667,19,4.7500,0.0585,4,branching,medium,single,4,3,dispersed,medium,1,medium,1555305595,29efe095-907b-4cb1-b39c-415c5aa542a4,true,,
1,4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,10.2076,1.0000,5.1659,1.5363,0.2500,1.5000,3.0000,0,1,1,1,0.5000,2.0000,18,4.5000,0.0820,4,branching,medium,single,4,3,dispersed,medium,1,medium,888534260,765cb896-0f30-4793-87e4-e11ea66b344c,true,,
1,4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,12.0172,0.5000,11.2913,1.6777,0.2500,1.5000,2.0000,0,1,1,1,0.2500,1.6667,15,3.7500,0.0623,4,branching,medium,single,4,3,dispersed,medium,1,medium,276965103,dc75ab3d-f872-4333-a8e7-18078a021a5b,true,,
1,4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,11.7507,1.0000,6.3143,1.5685,0.2500,1.5000,3.0000,0,1,1,1,0.5000,2.0000,19,4.7500,0.0600,4,branching,medium,single,4,3,dispersed,medium,1,medium,1195778416,cda1e878-a2e9-42f3-ac5c-0438865e40d8,true,,
3,4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,11.9377,0.6667,9.6467,2.0065,0.2500,1.5000,3.0000,1,1,0,1,0.5000,1.0000,16,4.0000,0.0440,4,branching,medium,single,4,3,dispersed,medium,3,medium,354688511,9133484d-9022-4f0d-b628-ade5df2fc3b5,true,,
3,4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,7.6243,0.8333,8.8823,3.3596,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,21,5.2500,0.0752,4,branching,medium,single,4,3,dispersed,medium,3,medium,2092507657,c03f66ca-c0e6-42dc-b2dc-99cbc92310ab,true,,
3,4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,11.6757,0.6667,9.3952,2.2591,0.2500,1.5000,3.0000,1,1,0,1,0.5000,1.0000,16,4.0000,0.0632,4,branching,medium,single,4,3,dispersed,medium,3,medium,1908148521,531fe637-2e1d-46b1-a638-9fce3fc694eb,true,,
3,4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,8.7029,0.3333,11.7775,3.3259,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,21,5.2500,0.0606,4,branching,medium,single,4,3,dispersed,medium,3,medium,1741937015,92d86760-e503-46c8-a481-323ddf0de8a1,true,,
3,4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,9.9601,0.3333,13.2212,2.0018,0.2500,1.5000,2.0000,1,1,0,1,0.2500,0.6667,20,5.0000,0.0634,4,branching,medium,single,4,3,dispersed,medium,3,medium,1039594642,1287fa02-dd17-4a4d-a596-74d8270d26b3,true,,
3,4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,12.2849,0.5000,9.7147,2.5146,0.2500,1.5000,3.0000,1,1,0,1,0.5000,1.0000,15,3.7500,0.0453,4,branching,medium,single,4,3,dispersed,medium,3,medium,983800463,dcce5e15-b1c4-4066-9147-d292e91008ee,true,,
3,4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,8.4193,0.5000,11.5949,10.8297,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,19,4.7500,0.0563,4,branching,medium,single,4,3,dispersed,medium,3,medium,990582511,c7df2fae-c24c-421b-b40a-420841df3b6e,true,,
