withinFormRange,roomCount,doorCount,avgConnectivity,graphDiameter,maxDepth,cyclicityMeasure,entryPointCount,doorsOpen,doorsClosed,doorsLocked,lockedDoorFraction,avgEntityDistanceFromEntry,entityClusteringCoefficient,avgHostageTerroristDistance,minHostageTerroristDistance,entityDepthVariance,avgEntityDepth,avgPatrolRouteLength,stationaryGuardCount,patrolCount,roamingGuardCount,hostageGuardianCount,patrolCoverage,avgWaypointCount,totalFurnitureCount,avgFurniturePerRoom,furnitureFloorCoverage,furnishedRoomCount,layoutType,roomSizeCategory,entryType,configRoomCount,configTerroristCount,placementStrategy,hostageRiskLevel,difficultyLevel,randomnessLevel,seedUsed,scenarioId,validationPassed,validationWarnings,errorMessage,failureCategory,seedRetries
false,9,8,1.7778,2,1,0.0000,1,0,7,1,0.1250,10.8406,0.6429,10.0864,4.2882,0.0000,1.0000,2.0000,0,1,5,1,0.1111,1.7143,70,7.7778,0.0821,9,hub_and_spoke,large,single,9,7,deep,medium,4,low,2073405016,2b98f526-f4a9-4cf9-b458-be1e8ce69ada,true,,,none,0
false,8,8,2.0000,4,4,0.1250,3,1,7,0,0.0000,12.7399,1.0000,4.0599,4.0599,0.0000,4.0000,0.0000,0,0,0,1,0.0000,0.0000,34,4.2500,0.0445,8,loop,large,multiple,8,1,clustered,medium,3,medium,514247681,eac65409-6d8c-4c5a-b9bd-0e2577a9ede3,true,,,none,0
true,3,2,1.3333,2,1,0.0000,1,0,1,1,0.5000,6.0947,1.0000,1.6977,1.6380,0.0000,1.0000,2.0000,0,2,1,1,0.3333,1.5000,6,2.0000,0.0465,3,hub_and_spoke,small,single,3,4,front_loaded,high,2,medium,60372535,a4c9d64c-2ac7-4042-aecb-04592d027fe4,true,,,none,0
false,6,5,1.6667,2,1,0.0000,1,0,4,1,0.2000,9.9815,0.0000,19.9499,19.9499,0.0000,1.0000,0.0000,0,0,0,1,0.0000,0.0000,41,6.8333,0.0585,6,hub_and_spoke,large,single,6,1,dispersed,high,2,low,371437442,ae9f84e2-9f9e-4900-99d4-97aa7446e366,true,,,none,0
false,10,9,1.8000,5,3,0.0000,1,2,6,1,0.1111,16.7138,0.8571,5.6282,2.5067,0.2344,2.6250,3.0000,3,1,2,1,0.2000,1.2857,64,6.4000,0.0920,10,branching,medium,single,10,7,clustered,medium,4,high,2090241824,e204f1a4-1e01-4490-be8f-69e05e6af7c0,true,,,none,0
false,6,6,2.0000,3,3,0.1667,1,3,3,0,0.0000,6.3666,0.6389,8.8416,4.7270,0.0988,1.1111,3.0000,3,1,3,1,0.3333,1.5000,10,1.6667,0.0300,6,loop,small,single,6,8,front_loaded,low,5,high,53893206,2b1a0787-b2d9-404a-af3e-954384f911a9,true,,,none,1
true,3,2,1.3333,2,1,0.0000,1,0,1,1,0.5000,10.4279,0.4000,11.6399,1.7041,0.0000,1.0000,2.0000,0,2,1,1,0.6667,1.5000,24,8.0000,0.0552,3,branching,large,single,3,4,deep,medium,1,medium,668800694,71abdaae-f0c7-4185-822b-9d8b37d01f2e,true,,,none,0
false,9,10,2.2222,4,3,0.2000,1,5,5,0,0.0000,13.1707,0.3333,17.0071,2.9655,0.6667,2.0000,3.0000,2,1,1,1,0.2222,1.4000,39,4.3333,0.0548,9,loop,medium,single,9,5,dispersed,low,5,high,1318748802,a9afedb6-a00e-49d6-8e53-e1019ce6b448,true,,,none,2
false,7,6,1.7143,4,2,0.0000,1,0,5,1,0.1667,15.2484,0.6000,9.7181,2.1690,0.0000,2.0000,3.0000,1,1,1,1,0.2857,1.5000,29,4.1429,0.0632,7,branching,medium,single,7,4,deep,high,3,low,1048887831,b6d50050-d2db-4b45-8632-74e6e252afd8,true,,,none,0
false,10,11,2.2000,5,3,0.1818,3,2,9,0,0.0000,17.5036,0.3333,24.0166,13.2834,0.6667,2.0000,0.0000,1,0,0,1,0.0000,0.0000,50,5.0000,0.0442,10,loop,large,multiple,10,2,dispersed,medium,4,high,1218221189,e643f161-a9ca-42e2-8bf0-cbe52fc10f1b,true,,,none,1
