variedParameter,parameterValue,roomCount,doorCount,avgConnectivity,graphDiameter,maxDepth,cyclicityMeasure,entryPointCount,doorsOpen,doorsClosed,doorsLocked,lockedDoorFraction,avgEntityDistanceFromEntry,entityClusteringCoefficient,avgHostageTerroristDistance,minHostageTerroristDistance,entityDepthVariance,avgEntityDepth,avgPatrolRouteLength,stationaryGuardCount,patrolCount,roamingGuardCount,hostageGuardianCount,patrolCoverage,avgWaypointCount,totalFurnitureCount,avgFurniturePerRoom,furnitureFloorCoverage,furnishedRoomCount,layoutType,roomSizeCategory,entryType,configRoomCount,configTerroristCount,placementStrategy,hostageRiskLevel,difficultyLevel,randomnessLevel,seedUsed,scenarioId,validationPassed,validationWarnings,errorMessage
layoutType,branching,4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,12.1029,0.6667,9.3524,2.8783,0.2500,1.5000,2.0000,1,1,0,1,0.2500,0.6667,14,3.5000,0.0274,4,branching,medium,single,4,3,dispersed,medium,3,medium,839812894,aee99cdc-ed4a-4af8-9804-2b6945cc924c,true,,
layoutType,branching,4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,9.0915,1.0000,5.7883,2.2570,0.2500,1.5000,3.0000,1,1,0,1,0.5000,1.0000,22,5.5000,0.0845,4,branching,medium,single,4,3,dispersed,medium,3,medium,137943208,cfe37258-95be-48f9-87f5-a824db5c20a4,true,,
layoutType,branching,4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,11.2328,0.3333,16.8347,3.4214,0.2500,1.5000,2.0000,1,1,0,1,0.2500,0.6667,16,4.0000,0.0451,4,branching,medium,single,4,3,dispersed,medium,3,medium,1446916856,c55f44bc-0934-446f-981c-a88b0346b779,true,,
layoutType,branching,4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,8.6306,1.0000,5.6784,2.1749,0.2500,1.5000,2.0000,1,1,0,1,0.2500,0.6667,20,5.0000,0.0680,4,branching,medium,single,4,3,dispersed,medium,3,medium,169604605,d19e31ca-9429-4a87-87ea-ab5d40665e86,true,,
layoutType,branching,4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,8.6064,0.5000,9.7813,2.1335,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,19,4.7500,0.0743,4,branching,medium,single,4,3,dispersed,medium,3,medium,223297358,d6a3097b-43c9-49d7-9df1-8c0a884e57a0,true,,
layoutType,branching,4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,9.6583,0.5000,9.7385,2.1868,0.2500,1.5000,3.0000,1,1,0,1,0.5000,1.0000,16,4.0000,0.0410,4,branching,medium,single,4,3,dispersed,medium,3,medium,1913614058,a2b46657-9f3b-46db-9efc-23abaecc1527,true,,
layoutType,branching,4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,10.2800,0.5000,9.6126,2.6735,0.2500,1.5000,3.0000,1,1,0,1,0.5000,1.0000,18,4.5000,0.0522,4,branching,medium,single,4,3,dispersed,medium,3,medium,2030079634,3f60fbd4-7a10-43a0-998f-071047980474,true,,
layoutType,branching,4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,8.0367,0.6667,9.7538,2.0517,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,23,5.7500,0.1046,4,branching,medium,single,4,3,dispersed,medium,3,medium,1474015710,7cce53d2-c63b-42a8-b5c8-f9f9a8de91ed,true,,
layoutType,branching,4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,10.2887,0.5000,9.5938,2.5015,0.2500,1.5000,3.0000,1,1,0,1,0.5000,1.0000,18,4.5000,0.0575,4,branching,medium,single,4,3,dispersed,medium,3,medium,1237673984,40cf7dff-37fd-4a97-af9e-627229d77941,true,,
layoutType,branching,4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,9.9078,0.5000,9.0979,2.6305,0.2500,1.5000,2.0000,1,1,0,1,0.2500,0.6667,18,4.5000,0.0656,4,branching,medium,single,4,3,dispersed,medium,3,medium,1098608745,465cec56-d594-4ac3-80cb-22943c5b7a0f,true,,
