event_type,event_id,ablation_mode,event_x,event_z,selected_npc,selected_role,distance_m,had_los,state_score
GunshotHeard,30,NoDistance,-14.91,-13.09,AblationNPC_01,Roamer,14.25,1,0.80
GunshotHeard,30,NoRole,-14.91,-13.09,AblationNPC_05,Leader,9.05,1,1.00
GunshotHeard,30,NoState,-14.91,-13.09,AblationNPC_07,Roamer,12.78,1,0.50
GunshotHeard,31,Full,4.62,-13.96,AblationNPC_07,Roamer,10.63,1,0.50
GunshotHeard,31,NoLOS,4.62,-13.96,AblationNPC_01,Roamer,21.59,0,0.80
GunshotHeard,31,NoDistance,4.62,-13.96,AblationNPC_07,Roamer,10.63,1,0.50
GunshotHeard,31,NoRole,4.62,-13.96,AblationNPC_00,Guard,3.22,1,1.00
GunshotHeard,31,NoState,4.62,-13.96,AblationNPC_07,Roamer,10.63,1,0.50
GunshotHeard,32,Full,12.41,12.87,AblationNPC_01,Roamer,26.60,1,0.80
GunshotHeard,32,NoLOS,12.41,12.87,AblationNPC_01,Roamer,26.60,1,0.80
GunshotHeard,32,NoDistance,12.41,12.87,AblationNPC_01,Roamer,26.60,1,0.80
GunshotHeard,32,NoRole,12.41,12.87,AblationNPC_00,Guard,24.76,1,1.00
GunshotHeard,32,NoState,12.41,12.87,AblationNPC_04,Roamer,22.76,1,0.10
GunshotHeard,33,Full,-1.16,-3.74,AblationNPC_01,Roamer,11.00,1,0.80
GunshotHeard,33,NoLOS,-1.16,-3.74,AblationNPC_01,Roamer,11.00,1,0.80
GunshotHeard,33,NoDistance,-1.16,-3.74,AblationNPC_01,Roamer,11.00,1,0.80
GunshotHeard,33,NoRole,-1.16,-3.74,AblationNPC_06,Guard,2.12,1,0.80
GunshotHeard,33,NoState,-1.16,-3.74,AblationNPC_01,Roamer,11.00,1,0.80
GunshotHeard,34,Full,3.50,-13.67,AblationNPC_07,Roamer,9.59,1,0.50
GunshotHeard,34,NoLOS,3.50,-13.67,AblationNPC_01,Roamer,20.57,0,0.80
GunshotHeard,34,NoDistance,3.50,-13.67,AblationNPC_07,Roamer,9.59,1,0.50
GunshotHeard,34,NoRole,3.50,-13.67,AblationNPC_00,Guard,3.28,1,1.00
GunshotHeard,34,NoState,3.50,-13.67,AblationNPC_07,Roamer,9.59,1,0.50
GunshotHeard,35,Full,-3.82,-10.74,AblationNPC_07,Roamer,3.56,1,0.50
GunshotHeard,35,NoLOS,-3.82,-10.74,AblationNPC_07,Roamer,3.56,1,0.50
