event_id,ablation_mode,event_x,event_z,selected_npc,selected_role,distance_m,had_los,state_score
12,NoLOS,7.45,-3.46,AblationNPC_01,Roamer,19.14,0,0.80
12,NoDistance,7.45,-3.46,AblationNPC_01,Roamer,19.14,0,0.80
12,NoRole,7.45,-3.46,AblationNPC_00,Guard,7.70,1,1.00
12,NoState,7.45,-3.46,AblationNPC_07,Roamer,11.64,0,0.50
13,Full,-10.53,-14.21,AblationNPC_01,Roamer,14.91,1,0.80
13,NoLOS,-10.53,-14.21,AblationNPC_01,Roamer,14.91,1,0.80
13,NoDistance,-10.53,-14.21,AblationNPC_01,Roamer,14.91,1,0.80
13,NoRole,-10.53,-14.21,AblationNPC_05,Leader,7.39,1,1.00
13,NoState,-10.53,-14.21,AblationNPC_07,Roamer,9.88,1,0.50
14,Full,-13.47,8.45,AblationNPC_01,Roamer,8.08,1,0.80
14,NoLOS,-13.47,8.45,AblationNPC_01,Roamer,8.08,1,0.80
14,NoDistance,-13.47,8.45,AblationNPC_01,Roamer,8.08,1,0.80
14,NoRole,-13.47,8.45,AblationNPC_05,Leader,16.67,1,1.00
14,NoState,-13.47,8.45,AblationNPC_04,Roamer,3.73,1,0.10
15,Full,3.79,-11.54,AblationNPC_07,Roamer,8.55,1,0.50
15,NoLOS,3.79,-11.54,AblationNPC_01,Roamer,19.37,0,0.80
15,NoDistance,3.79,-11.54,AblationNPC_07,Roamer,8.55,1,0.50
15,NoRole,3.79,-11.54,AblationNPC_00,Guard,1.47,1,1.00
15,NoState,3.79,-11.54,AblationNPC_07,Roamer,8.55,1,0.50
16,Full,-7.50,8.17,AblationNPC_01,Roamer,8.37,1,0.80
16,NoLOS,-7.50,8.17,AblationNPC_01,Roamer,8.37,1,0.80
16,NoDistance,-7.50,8.17,AblationNPC_01,Roamer,8.37,1,0.80
16,NoRole,-7.50,8.17,AblationNPC_05,Leader,15.46,1,1.00
16,NoState,-7.50,8.17,AblationNPC_04,Roamer,2.31,1,0.10
17,Full,-6.31,4.44,AblationNPC_01,Roamer,6.20,1,0.80
17,NoLOS,-6.31,4.44,AblationNPC_01,Roamer,6.20,1,0.80
17,NoDistance,-6.31,4.44,AblationNPC_01,Roamer,6.20,1,0.80
17,NoRole,-6.31,4.44,AblationNPC_05,Leader,11.84,1,1.00
17,NoState,-6.31,4.44,AblationNPC_04,Roamer,4.86,1,0.10
18,Full,-10.69,-13.67,AblationNPC_01,Roamer,14.36,1,0.80
18,NoLOS,-10.69,-13.67,AblationNPC_01,Roamer,14.36,1,0.80
18,NoDistance,-10.69,-13.67,AblationNPC_01,Roamer,14.36,1,0.80
18,NoRole,-10.69,-13.67,AblationNPC_05,Leader,6.94,1,1.00
18,NoState,-10.69,-13.67,AblationNPC_07,Roamer,9.62,1,0.50
19,Full,3.14,0.48,AblationNPC_01,Roamer,14.37,0,0.80
19,NoLOS,3.14,0.48,AblationNPC_01,Roamer,14.37,0,0.80
19,NoDistance,3.14,0.48,AblationNPC_01,Roamer,14.37,0,0.80
19,NoRole,3.14,0.48,AblationNPC_00,Guard,11.41,0,1.00
19,NoState,3.14,0.48,AblationNPC_07,Roamer,10.19,0,0.50
20,Full,-13.48,-2.39,AblationNPC_01,Roamer,3.80,1,0.80
20,NoLOS,-13.48,-2.39,AblationNPC_01,Roamer,3.80,1,0.80
20,NoDistance,-13.48,-2.39,AblationNPC_01,Roamer,3.80,1,0.80
20,NoRole,-13.48,-2.39,AblationNPC_01,Roamer,3.80,1,0.80
20,NoState,-13.48,-2.39,AblationNPC_01,Roamer,3.80,1,0.80
21,Full,6.20,3.85,AblationNPC_01,Roamer,17.72,1,0.80
21,NoLOS,6.20,3.85,AblationNPC_01,Roamer,17.72,1,0.80
21,NoDistance,6.20,3.85,AblationNPC_01,Roamer,17.72,1,0.80
21,NoRole,6.20,3.85,AblationNPC_00,Guard,14.67,1,1.00
21,NoState,6.20,3.85,AblationNPC_04,Roamer,16.48,1,0.10
22,Full,-8.45,-14.60,AblationNPC_01,Roamer,15.54,0,0.80
22,NoLOS,-8.45,-14.60,AblationNPC_01,Roamer,15.54,0,0.80
22,NoDistance,-8.45,-14.60,AblationNPC_01,Roamer,15.54,0,0.80
22,NoRole,-8.45,-14.60,AblationNPC_05,Leader,7.34,0,1.00
22,NoState,-8.45,-14.60,AblationNPC_07,Roamer,8.87,0,0.50
23,Full,-4.05,-6.98,AblationNPC_07,Roamer,0.52,0,0.50
23,NoLOS,-4.05,-6.98,AblationNPC_07,Roamer,0.52,0,0.50
23,NoDistance,-4.05,-6.98,AblationNPC_01,Roamer,10.51,0,0.80
23,NoRole,-4.05,-6.98,AblationNPC_07,Roamer,0.52,0,0.50
23,NoState,-4.05,-6.98,AblationNPC_07,Roamer,0.52,0,0.50
24,Full,-12.94,6.55,AblationNPC_01,Roamer,6.11,1,0.80
24,NoLOS,-12.94,6.55,AblationNPC_01,Roamer,6.11,1,0.80
24,NoDistance,-12.94,6.55,AblationNPC_01,Roamer,6.11,1,0.80
24,NoRole,-12.94,6.55,AblationNPC_05,Leader,14.69,1,1.00
24,NoState,-12.94,6.55,AblationNPC_04,Roamer,3.40,1,0.10
25,Full,-12.87,-1.08,AblationNPC_01,Roamer,2.40,1,0.80
25,NoLOS,-12.87,-1.08,AblationNPC_01,Roamer,2.40,1,0.80
25,NoDistance,-12.87,-1.08,AblationNPC_01,Roamer,2.40,1,0.80
